k,alpha,K,acc,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,prec_0,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,time
5,50,15,0.9744047619047618,0.9932682827043198,0.993695871077954,0.9722614916686023,0.9657883071387595,0.9700298550248266,0.9661484655074964,0.9900021849012389,0.9746491405716692,0.9517238072508056,0.9630621110392481,0.9842036317468236,0.9749038483900272,0.9791906076188398,0.9705701828503062,0.9801807518486484,0.969846362065027,0.9807223925881916,0.9672736684781467,0.9840057821623361,0.9540146823772596,239.38937871200324
1,30,20,0.9730000000000001,0.9919059232398034,0.9904261483327419,0.9765735710683451,0.9554644097967557,0.9686806557382134,0.9643373293639771,0.9886376454118808,0.9709539273139807,0.9601004727071384,0.9598192903916732,0.987604922360689,0.9852153424237666,0.9763157110164096,0.9689207260417756,0.9766767165156918,0.9690176510932069,0.9764376999379657,0.9709755651134995,0.9735677400337817,0.9451113931467144,308.52163386300526
1,40,20,0.9733095238095238,0.9914109595553434,0.9911129299774026,0.9759235904101908,0.9563304450398217,0.9680027995796807,0.9638731094818169,0.9891340481744544,0.9725769694134664,0.9621484221633156,0.9594261687560444,0.9861175645014593,0.9830283539093531,0.9786622792768809,0.9685669800144249,0.9759334134672173,0.9696087503854308,0.9765724757198336,0.9702554938198551,0.9750040723437626,0.9493706394995497,261.9032987879982
1,50,20,0.9736190476190478,0.9923245836145623,0.9911160429237789,0.9726732438294882,0.9591956221671325,0.9687951435592655,0.9646359908163236,0.9903265788994812,0.971206146658219,0.9605197309294876,0.9620095995381686,0.9870676858538976,0.9828289517029478,0.9778674383045922,0.9685010880979711,0.9772373881650308,0.9721697980394588,0.9773087236808886,0.969561956330292,0.9757783060225229,0.9480350459472284,276.33205307499884
3,30,20,0.9741190476190477,0.992892481504688,0.9913544336315976,0.9784661468280742,0.958322297438445,0.9697615886213375,0.9690141700509465,0.989216814862259,0.9741825092627906,0.958210461839121,0.957094254757666,0.9823052773284531,0.9796474562993307,0.9729709321816159,0.9700309429464292,0.9771910067816589,0.9713500547940124,0.9798998592518571,0.9721968747316249,0.9802108887684978,0.9557808533823161,368.2290835349995
3,40,20,0.974952380952381,0.9928966462098744,0.9922350627363725,0.9759852644551312,0.9627342025270451,0.9714257696758093,0.9669530614896675,0.9904714080220206,0.9764966024676787,0.9578261045547635,0.959613359394852,0.9824644043990899,0.9780465253710814,0.9766246584256908,0.9717374036961879,0.9790694419520982,0.9722460503669985,0.9789318528546757,0.9723830423596249,0.9819219555163604,0.9565628572985985,257.3412458239982
3,50,20,0.9748095238095237,0.9919013002076555,0.9932960400043493,0.9747326617768237,0.9645578431008172,0.9721726625494522,0.9639742075836624,0.9909408961090644,0.9767384360245771,0.9536191746691735,0.9624298695329813,0.9825302187392466,0.9776895247498955,0.9775984248373331,0.9684598886095085,0.9783858843625302,0.9714101967022325,0.9802345597891907,0.9729072346069231,0.9832629313599043,0.9563354219420109,343.4164127470067
5,30,20,0.9748571428571429,0.9923621969229318,0.9922594645570012,0.9765409313463798,0.9610218633346042,0.9704612248589288,0.9699670749723817,0.9899688011075313,0.9767366506146574,0.9581167376472781,0.958129345218303,0.9849242017702874,0.9796420164792977,0.9768707276069021,0.9740286514794982,0.9788652831347603,0.9697448423763705,0.9782276278226633,0.9700875282514595,0.9780025406798576,0.9582291225990277,272.69024047700077
5,40,20,0.9750238095238096,0.9934099720882699,0.9932705877900754,0.9763221326669772,0.9623076583842284,0.9715953790648,0.9674118930342435,0.9907627445171295,0.9751009308409756,0.9557264949437407,0.961263287967234,0.9858909860775913,0.976993692790729,0.9793626280293795,0.9729937845624956,0.9809180062756557,0.9687168026389239,0.9779492920290853,0.9698261115463209,0.9807841225930517,0.9576419884156785,367.8307072530006
5,50,20,0.9746666666666666,0.9933779752797373,0.9939118422516942,0.9726878640040381,0.9646619884566775,0.9712138160784572,0.9660043534986025,0.9899850744545102,0.9748650330592528,0.9523392991857674,0.9640013021506018,0.9843554421167348,0.975434567449706,0.9802495245829949,0.9705004827590595,0.9809858426184747,0.9690949722217811,0.9799391714091948,0.9689991139532032,0.9832942121755099,0.9548044157778817,365.22154491099354
